iter	Passed	Remaining
404	7737	11368
405	7755	11347
406	7774	11327
407	7792	11306
408	7809	11284
409	7826	11261
410	7843	11241
411	7861	11219
412	7878	11197
413	7896	11176
414	7914	11156
415	7932	11136
416	7950	11115
417	7966	11092
418	7983	11070
419	8001	11049
420	8020	11030
421	8037	11008
422	8055	10988
423	8074	10969
424	8092	10949
425	8112	10930
426	8130	10910
427	8148	10890
428	8166	10869
429	8183	10847
430	8201	10827
431	8222	10810
432	8239	10789
433	8257	10768
434	8276	10749
435	8293	10728
436	8309	10705
437	8328	10686
438	8347	10667
439	8365	10647
440	8383	10627
441	8403	10608
442	8420	10587
443	8438	10567
444	8457	10548
445	8474	10526
446	8493	10508
447	8511	10487
448	8529	10467
449	8547	10447
450	8565	10426
451	8583	10406
452	8601	10385
453	8619	10366
454	8634	10342
455	8653	10323
456	8671	10303
457	8689	10282
458	8707	10262
459	8725	10242
460	8748	10228
461	8765	10207
462	8782	10186
463	8799	10164
464	8815	10142
465	8833	10122
466	8849	10100
467	8868	10080
468	8885	10060
469	8904	10041
470	8923	10022
471	8941	10001
472	8957	9980
473	8972	9957
474	8989	9935
475	9006	9914
476	9024	9894
477	9042	9875
478	9060	9855
479	9080	9837
480	9099	9818
481	9116	9797
482	9135	9778
483	9153	9758
484	9171	9738
485	9190	9719
486	9210	9701
487	9226	9680
488	9245	9661
489	9261	9639
490	9279	9619
491	9296	9598
492	9312	9577
493	9332	9558
494	9348	9537
495	9365	9516
496	9383	9496
497	9400	9476
498	9418	9456
499	9436	9436
500	9454	9416
501	9472	9397
502	9490	9377
503	9506	9355
504	9522	9334
505	9539	9313
506	9558	9294
507	9575	9273
508	9593	9253
509	9610	9233
510	9628	9214
511	9644	9192
512	9663	9173
513	9679	9152
514	9699	9134
515	9716	9113
516	9734	9094
517	9753	9075
518	9772	9056
519	9791	9037
520	9809	9018
521	9827	8999
522	9844	8979
523	9862	8959
524	9880	8939
525	9898	8919
526	9915	8899
527	9937	8883
528	9961	8869
529	9983	8853
530	10004	8836
531	10026	8819
532	10047	8803
533	10070	8787
534	10093	8772
535	10113	8754
536	10136	8739
537	10162	8727
538	10185	8711
539	10208	8696
540	10233	8682
541	10254	8665
542	10279	8651
543	10304	8637
544	10325	8620
545	10346	8602
546	10371	8589
547	10389	8569
548	10407	8549
549	10425	8530
550	10444	8510
551	10461	8490
552	10480	8471
553	10497	8451
554	10514	8430
555	10530	8409
556	10547	8388
557	10564	8368
558	10583	8349
559	10599	8328
560	10617	8308
