iter	MultiClass
352	0.4107390437
353	0.4105780927
354	0.4103159296
355	0.4101562829
356	0.4098970269
357	0.4097325614
358	0.4096341045
359	0.409361024
360	0.4091917896
361	0.4089946678
362	0.4088041941
363	0.4086512903
364	0.40848319
365	0.4082690818
366	0.4079620016
367	0.4076828488
368	0.4074983125
369	0.4073428949
370	0.4072075778
371	0.4069413041
372	0.4067152792
373	0.4065809133
374	0.406436947
375	0.4062545091
376	0.406037683
377	0.4059139268
378	0.4057274454
379	0.4055900218
380	0.4053564867
381	0.4051485813
382	0.4049103419
383	0.4046685445
384	0.4044608141
385	0.4042647661
386	0.4041109557
387	0.4039230342
388	0.4035801867
389	0.4033504632
390	0.4031335544
391	0.4028806774
392	0.4026931906
393	0.4024387647
394	0.4023552896
395	0.4020793813
396	0.4019250038
397	0.4017013896
398	0.4015552324
399	0.4014080805
400	0.4013058228
401	0.4010758187
402	0.4008190036
403	0.4006067713
404	0.4004274126
405	0.4001880838
406	0.4000307085
407	0.3998403061
408	0.3996332006
409	0.3994503534
410	0.3992112225
411	0.3990775511
412	0.3989454836
413	0.3987195885
414	0.3985109396
415	0.3983365358
416	0.3980487031
417	0.3978892766
418	0.3977062682
419	0.3974631394
420	0.3972544016
421	0.3969728756
422	0.3967934439
423	0.3966007483
424	0.3964775821
425	0.3962411003
426	0.3959494522
427	0.3956488678
428	0.3952641878
429	0.3951582357
430	0.3950659377
431	0.394932967
432	0.3948208045
433	0.3946337415
434	0.3943932324
435	0.3942140846
436	0.3941295669
437	0.3940255826
438	0.3937166244
439	0.3934896774
440	0.393388459
441	0.3930600426
442	0.3928366906
443	0.3925921013
444	0.3923607883
445	0.3921896675
446	0.3919109017
447	0.3917182513
448	0.3915546288
449	0.3914286789
450	0.3912439077
451	0.3910462291
452	0.3908373101
453	0.3905966426
454	0.3905087036
455	0.3903228621
456	0.390015427
457	0.3898369024
458	0.3896736248
459	0.3894723481
460	0.3893431276
461	0.3891875192
462	0.3890233573
463	0.3889079802
464	0.3888246304
465	0.3885630638
466	0.38838728
467	0.3881672635
468	0.3879842261
469	0.3877966188
470	0.3875633796
471	0.3873079852
472	0.3871134549
473	0.3870224903
474	0.3868770804
475	0.3867213524
476	0.3866306305
477	0.3863946966
478	0.3861996687
479	0.3857107595
480	0.3854416915
481	0.385314797
482	0.3850558851
483	0.3848527538
484	0.3845932479
485	0.3843749355
486	0.3842210302
487	0.3839851087
488	0.3838609085
489	0.3837500715
490	0.3835637711
491	0.3833940836
492	0.3832477452
493	0.3830085062
494	0.382884931
495	0.3827763501
496	0.3826493421
497	0.382448522
498	0.3821072114
499	0.3819437754
500	0.3816814182
501	0.3814980008
502	0.3813501189
503	0.3812503186
504	0.3811128171
505	0.3810106597
506	0.380829015
507	0.380715964
508	0.3805005669
509	0.3803601952
510	0.380156898
511	0.3800762561
512	0.3798266742
513	0.3797276402
514	0.3794847761
515	0.3793750246
516	0.3791971743
517	0.3790188917
518	0.3787671183
519	0.3786080595
520	0.3784816312
521	0.3783336528
522	0.3781802213
523	0.3780299284
524	0.377886004
525	0.3776307923
526	0.3775300191
527	0.377229355
528	0.3769944203
529	0.3767991608
530	0.3765171986
531	0.3764454163
532	0.3762802007
533	0.3759988016
534	0.3757850338
535	0.3755739725
536	0.3753704146
537	0.3751393041
538	0.374985756
539	0.3748424539
540	0.3746555583
541	0.3745210723
542	0.3743820454
543	0.3742174573
544	0.3741129984
545	0.3740044233
546	0.3737479268
547	0.3736247745
548	0.3734243962
549	0.3732460543
550	0.3730017214
551	0.3728234014
552	0.3725316941
553	0.3723355399
554	0.3722199063
555	0.372064451
556	0.3719050477
557	0.3717769768
558	0.371535354
559	0.3713232817
560	0.3710171721
561	0.370884977
562	0.3707544403
563	0.3705883808
564	0.3704563687
565	0.3703071165
566	0.3701552456
567	0.3699927093
568	0.369636893
569	0.3695121277
570	0.3693987628
571	0.3691635326
572	0.3690451006
573	0.3689509449
574	0.3688523677
575	0.3686615959
576	0.3685091758
577	0.3683146324
578	0.368029595
579	0.3678826275
580	0.3676937377
581	0.3675962779
582	0.3673955361
583	0.3671731178
584	0.366988089
585	0.3667861103
586	0.3665513351
587	0.3664474167
588	0.3663221151
589	0.3661960373
590	0.365984991
591	0.3657252568
592	0.3654952935
593	0.3652589479
594	0.3650329033
595	0.3648832679
596	0.3647516576
597	0.3646695243
598	0.3644941547
599	0.3642325997
600	0.3639920515
601	0.3638578064
602	0.3636066646
603	0.3633474617
604	0.3631527366
605	0.3630125818
606	0.362751075
607	0.3626650543
608	0.3625972301
609	0.3623924572
610	0.3620533466
611	0.3619886962
612	0.3615873722
613	0.3614539108
614	0.3613436999
615	0.3611529619
616	0.3610837641
617	0.3608793599
618	0.3606933904
619	0.3605225805
620	0.360171802
621	0.3598892827
622	0.3597784414
623	0.3596989044
624	0.3595614187
625	0.3593548294
626	0.359179544
627	0.3590313146
628	0.3588683067
629	0.3587194503
630	0.3585136243
631	0.3583763533
632	0.3582847254
633	0.3580993226
634	0.357951417
635	0.3577588832
636	0.3576664935
637	0.3574645545
638	0.3573545602
639	0.3571560779
640	0.3569342273
641	0.3567306098
642	0.3565181667
643	0.3561816605
644	0.356047723
645	0.3559120002
646	0.3557357337
647	0.3555727451
648	0.3552422958
649	0.3550371404
650	0.3549323922
651	0.35478296
652	0.3546063137
653	0.3544571271
654	0.3542885884
655	0.3540809509
656	0.3539080582
657	0.3537207341
658	0.3535690274
659	0.3533773732
660	0.3531423208
661	0.3529701228
662	0.3527794464
663	0.3526123493
664	0.3523446345
665	0.3522237868
666	0.3519683928
667	0.3518332983
668	0.3516063226
669	0.3515143773
670	0.3514390909
671	0.3512333428
672	0.3509699547
673	0.3507822518
674	0.3506074833
675	0.3505164118
676	0.3503923918
677	0.3502166169
678	0.350038203
679	0.3499229422
680	0.3496527014
681	0.3495366236
682	0.349368182
683	0.3492204562
684	0.3490157715
685	0.3489425165
686	0.3487032365
687	0.3485604311
688	0.3483798995
689	0.3482392988
690	0.348120008
691	0.3480322269
692	0.3478726831
693	0.3476436445
694	0.3475202769
695	0.3473595068
696	0.3471326306
697	0.3469182801
698	0.3467602577
699	0.3467216138
700	0.3466180653
701	0.3463654861
702	0.3462382123
703	0.345995388
704	0.3458283744
705	0.3456330028
706	0.3454141003
707	0.3452164508
708	0.34496633
709	0.3448759317
710	0.3446688611
711	0.3444941776
712	0.3443656732
713	0.3442325416
714	0.3441299535
715	0.3439407892
716	0.3438326757
717	0.3436741357
718	0.3435678715
719	0.3434844213
720	0.3433126274
721	0.3432065075
722	0.3430393866
723	0.3429070023
724	0.3427430481
725	0.3426167887
726	0.3425076494
727	0.3423511456
728	0.3422630221
729	0.3421280228
730	0.3418894229
731	0.3416525553
732	0.3414525386
733	0.3413337475
734	0.341269464
735	0.3412145413
736	0.3410088232
737	0.3408238606
738	0.3406408054
739	0.340514516
740	0.3403030047
741	0.3401001949
742	0.3399339388
743	0.3398209651
744	0.3397130612
745	0.3395395645
746	0.3393530187
747	0.3391550674
748	0.3390680858
749	0.3389049595
750	0.33869009
751	0.3385966746
752	0.3383597976
753	0.3382156752
754	0.3380430938
755	0.3378680681
756	0.337684328
757	0.3375458393
758	0.3374550472
759	0.3373117358
760	0.3371550272
761	0.3370805181
762	0.3369251723
763	0.3367140325
764	0.336550591
765	0.3364347144
766	0.3362645747
767	0.3361822696
768	0.3360587265
769	0.3358942759
770	0.335847722
771	0.3356228625
772	0.3354716279
773	0.3352073789
774	0.3349803413
775	0.334810115
776	0.334545925
777	0.3343724065
778	0.3341674391
779	0.3340390047
780	0.3339522605
781	0.333801671
782	0.3337437696
783	0.3335746198
784	0.3334925723
785	0.3332568986
786	0.3331533031
787	0.3329574579
788	0.3328008233
789	0.3326129178
790	0.3324519013
791	0.3322316331
792	0.3318891576
793	0.3317400669
794	0.3316138157
795	0.3314606854
796	0.3313448324
797	0.3312251289
798	0.3309943906
799	0.3309167878
800	0.330830952
801	0.3306791735
802	0.3305575766
803	0.3304199329
804	0.3303094377
805	0.3302089185
806	0.3300783345
807	0.3299217165
808	0.3296944378
809	0.3296163127
810	0.3294325526
811	0.3291874006
812	0.3291088597
813	0.3289966163
814	0.3288388132
815	0.3287161153
816	0.3285577102
817	0.3284240846
818	0.3282597263
819	0.3281067525
820	0.3280150543
821	0.3279020596
822	0.3277927554
823	0.327611975
824	0.3274199052
825	0.327196793
826	0.3270078854
827	0.3268775783
828	0.3266804594
829	0.3265848008
830	0.3264989433
831	0.3263655464
832	0.3262052036
833	0.3261028971
834	0.3259301171
835	0.3257013341
836	0.3256025868
837	0.3254911381
838	0.3253625706
839	0.3251726985
840	0.3249562832
841	0.3247915465
842	0.3246604191
843	0.324544805
844	0.3243488032
845	0.3242404141
846	0.3240754702
847	0.323910011
848	0.3237667043
849	0.3236272632
850	0.3235451031
851	0.3234957101
852	0.3232273875
853	0.323151842
854	0.3230344627
855	0.3229126668
856	0.3227452349
857	0.3225721102
858	0.322362807
859	0.3222629926
860	0.3221314175
861	0.3220235434
862	0.3218283957
863	0.3217041287
864	0.3215690853
865	0.321506972
866	0.3213671819
867	0.3211352993
868	0.3209912302
869	0.3208610638
870	0.3207141966
871	0.3205447729
872	0.3204120432
873	0.3202095042
874	0.3201044289
875	0.3199207066
876	0.3197325805
877	0.3196718015
878	0.3195035995
879	0.3193191084
880	0.3191426231
881	0.3188931851
882	0.3187190752
883	0.3185747683
884	0.3184914204
885	0.3182942253
886	0.3182015941
887	0.3179476032
888	0.3178059377
889	0.3176107034
890	0.3174085873
891	0.3172518739
892	0.3171068748
893	0.3169597202
894	0.3167817922
895	0.3165562067
896	0.3164937324
897	0.3163349327
898	0.3161658856
899	0.3160679661
900	0.3158859191
901	0.3157498805
902	0.3155897488
903	0.3154914503
904	0.3152818656
905	0.3150682058
906	0.3149051421
907	0.314794171
908	0.3146332211
909	0.3144603583
910	0.314362387
911	0.3142162652
912	0.3140340712
913	0.3139101509
914	0.3137913269
915	0.3136538311
916	0.313530678
917	0.3132343802
918	0.3131044219
919	0.3129674834
920	0.3128704144
921	0.3127469095
922	0.3126055569
923	0.3125330866
924	0.3123292668
925	0.3121993102
926	0.312076125
927	0.3119870514
928	0.3118348195
929	0.311686628
930	0.3115708292
931	0.3114999906
932	0.3113741392
933	0.3113006468
934	0.3110923182
935	0.3110326525
936	0.310870597
937	0.3106775724
938	0.3105975495
939	0.3104773222
940	0.3103853501
941	0.3102292539
942	0.3101429465
943	0.30995782
944	0.3097339625
945	0.3096661268
946	0.3093858214
947	0.309292032
948	0.3091650679
949	0.3089867159
950	0.3087077521
951	0.3085780449
952	0.308339227
953	0.3081990494
954	0.3080225253
955	0.3079238811
956	0.3077793556
957	0.3075698563
958	0.3074997422
959	0.3072957733
960	0.3070840836
961	0.3069509107
962	0.3067941143
963	0.3066381216
964	0.306481052
965	0.306313196
966	0.3061576191
967	0.3059549172
968	0.3057914445
969	0.3055880058
970	0.3054671025
971	0.3053067345
972	0.3052214565
973	0.3049986714
974	0.3048962797
975	0.3047966104
976	0.3045154351
977	0.3044359852
978	0.3042563669
979	0.3041313634
980	0.3039929007
981	0.3038731012
982	0.3037846408
983	0.3036311908
984	0.3034967769
985	0.303348154
986	0.3032887173
987	0.3031436877
988	0.3029777232
989	0.3027924615
990	0.3027002012
991	0.3024948877
992	0.3023134674
993	0.3021612688
994	0.3020886457
995	0.3018867328
996	0.3018239823
997	0.3016423085
998	0.3014994109
999	0.3013730656
